n,eta,r_c,boundary,n_max
3.4862385321100917,0.5,,0.5,0
3.494578815679733,0.5,,0.5,0
3.5029190992493744,0.5,,0.5,0
3.5112593828190155,0.5,,0.5,0
3.519599666388657,0.5,,0.5,0
3.5279399499582986,0.5,,0.5,0
3.5362802335279397,0.5,,0.5,0
3.5446205170975813,0.5,,0.5,0
3.5529608006672224,0.5,,0.5,0
3.561301084236864,0.5,,0.5,0
3.569641367806505,0.5,,0.5,0
3.5779816513761467,0.5,,0.5,0
3.586321934945788,0.5,,0.5,0
3.5946622185154293,0.5,,0.5,0
3.603002502085071,0.5,,0.5,0
3.611342785654712,0.5,,0.5,0
3.6196830692243536,0.5,,0.5,0
3.6280233527939947,0.5,,0.5,0
3.6363636363636362,0.5,,0.5,0
3.644703919933278,0.5,,0.5,0
3.653044203502919,0.5,,0.5,0
3.6613844870725605,0.5,,0.5,0
3.6697247706422016,0.5,,0.5,0
3.678065054211843,0.5,,0.5,0
3.6864053377814843,0.5,,0.5,0
3.694745621351126,0.5,,0.5,0
3.703085904920767,0.5,,0.5,0
3.7114261884904085,0.5,,0.5,0
3.71976647206005,0.5,,0.5,0
3.728106755629691,0.5,,0.5,0
3.7364470391993327,0.5,,0.5,0
3.744787322768974,0.5,,0.5,0
3.7531276063386154,0.5,,0.5,0
3.7614678899082565,0.5,,0.5,0
3.769808173477898,0.5,,0.5,0
3.7781484570475397,0.5,,0.5,0
3.7864887406171808,0.5,,0.5,0
3.7948290241868223,0.5,,0.5,0
3.8031693077564634,0.5,,0.5,0
3.811509591326105,0.5,,0.5,0
3.819849874895746,0.5,,0.5,0
3.8281901584653877,0.5,,0.5,0
3.8365304420350292,0.5,,0.5,0
3.8448707256046704,0.5,,0.5,0
3.853211009174312,0.5,,0.5,0
3.861551292743953,0.5,,0.5,0
3.8698915763135946,0.5,,0.5,0
3.8782318598832357,0.5,,0.5,0
3.8865721434528773,0.5,,0.5,0
3.894912427022519,0.5,,0.5,0
3.90325271059216,0.5,,0.5,0
3.9115929941618015,0.5,,0.5,0
3.9199332777314426,0.5,,0.5,0
3.928273561301084,0.5,,0.5,0
3.9366138448707253,0.5,,0.5,0
3.944954128440367,0.5,,0.5,0
