r,alpha,beta,gamma,nu_minus_closed,nu_minus_exact,abs_error
0.9431438127090301,3.373237174027305,3.21954291856401,2.928931933126487,0.36645015784595336,0.3664501578459532,1.6653345369377348e-16
0.9531772575250836,3.4385682649195077,3.273542985051869,2.9910667353794613,0.36385099440936425,0.3638509944093646,3.3306690738754696e-16
0.9632107023411371,3.505284045149878,3.328687580359084,3.0544060209810673,0.36130377451006507,0.361303774510065,5.551115123125783e-17
0.9732441471571907,3.573411380734284,3.3849989108597307,3.1189752962544888,0.35880746066986446,0.3588074606698643,1.6653345369377348e-16
0.9832775919732442,3.6429777061128643,3.4424996527646496,3.1848005628318465,0.35636103586249374,0.35636103586249396,2.220446049250313e-16
0.9933110367892977,3.714011035197695,3.501212961253007,3.251908328124886,0.35396350313608704,0.3539635031360859,1.1657341758564144e-15
1.0033444816053512,3.7865399726538187,3.5611624797967405,3.3203256159993413,0.35161388524058707,0.3516138852405865,5.551115123125783e-16
1.0133779264214047,3.860593725418153,3.622372349681629,3.390079977657273,0.34931122426018274,0.3493112242601823,4.440892098500626e-16
1.0234113712374582,3.93620211446094,3.6848672197288352,3.4611995027317586,0.3470545812508716,0.34705458125087146,1.1102230246251565e-16
1.0334448160535117,4.013395586794459,3.748672256220829,3.5337128305984122,0.34484303588320675,0.3448430358832061,6.661338147750939e-16
1.0434782608695652,4.092205227733842,3.8138131530356856,3.6076491619082702,0.3426756860903017,0.3426756860903024,7.216449660063518e-16
1.0535117056856187,4.172662773414929,3.880316141993845,3.68303827034671,0.3405516477211121,0.34055164772111196,1.6653345369377348e-16
1.0635451505016722,4.254800623574209,3.9482080034214984,3.7599105146231206,0.3384700541990459,0.3384700541990457,2.220446049250313e-16
1.0735785953177257,4.338651854595981,4.017516076934855,3.83829685069616,0.33643005618590405,0.3364300561859039,1.6653345369377348e-16
1.0836120401337792,4.424250232832009,4.088268272449626,3.9182288442395183,0.33443082125117407,0.334430821251174,5.551115123125783e-17
1.0936454849498327,4.511630228199005,4.16049308142017,3.9997386833532187,0.3324715335466557,0.3324715335466559,1.6653345369377348e-16
1.1036789297658862,4.6008270280594505,4.23421958831282,4.082859191525549,0.3305513934864447,0.330551393486444,6.661338147750939e-16
1.1137123745819397,4.691876551391319,4.309477482318009,4.167623840850876,0.3286696174322176,0.32866961743221784,2.220446049250313e-16
1.1237458193979935,4.784815463252418,4.386297069305919,4.254066765508642,0.326825437383829,0.3268254373838289,1.1102230246251565e-16
1.133779264214047,4.879681189545166,4.464709284030452,4.342222775508974,0.32501810067517,0.32501810067517006,5.551115123125783e-17
1.1438127090301005,4.976511932087773,4.54474570258647,4.43212737071046,0.3232468696752727,0.32324686967527305,3.3306690738754696e-16
1.153846153846154,5.075346683997862,4.626438555125272,4.523816755115705,0.32151102149461247,0.32151102149461247,0.0
1.1638795986622075,5.176225245394745,4.70982073883348,4.61732785145046,0.31980984769655446,0.3198098476965545,5.551115123125783e-17
1.173913043478261,5.279188239426679,4.794925831180516,4.712698316032152,0.31814265401393726,0.31814265401393715,1.1102230246251565e-16
1.1839464882943145,5.384277128629545,4.881788103440036,4.809966553933858,0.316508760070686,0.3165087600706856,3.885780586188048e-16
1.193979933110368,5.491534231623545,4.970442534490758,4.909171734449769,0.3149074991084609,0.3149074991084602,6.661338147750939e-16
1.2040133779264215,5.601002740154635,5.060924824902214,5.010353806868416,0.3133382177182441,0.3133382177182446,4.996003610813204e-16
1.214046822742475,5.7127267364875705,5.153271411311167,5.113553516559992,0.31180027557683954,0.31180027557683915,3.885780586188048e-16
1.2240802675585285,5.826751211157545,5.24751948109438,5.218812421384253,0.3102930451881812,0.31029304518818096,2.220446049250313e-16
1.234113712374582,5.943122081087591,5.343706987343759,5.326172908425598,0.3088159116294562,0.30881591162945593,2.7755575615628914e-16
1.2441471571906355,6.061886208079033,5.441872664149805,5.435678211062078,0.3073682723019181,0.30736827230191793,1.6653345369377348e-16
1.254180602006689,6.183091417682427,5.5420560421995875,5.547372426375195,0.3059495366863544,0.30594953668635394,4.440892098500626e-16
1.2642140468227425,6.306786518456611,5.644297464695496,5.661300532907517,0.30455912610315017,0.30455912610315006,1.1102230246251565e-16
1.274247491638796,6.433021321623589,5.748638103601194,5.77750840877525,0.3031964734768645,0.3031964734768637,8.326672684688674e-16
1.2842809364548495,6.561846661127197,5.855119976221296,5.896042850143054,0.30186102310526786,0.30186102310526775,1.1102230246251565e-16
1.294314381270903,6.693314414103599,5.963785962121471,6.0169515900685635,0.300552230432765,0.3005522304327651,5.551115123125783e-17
1.3043478260869565,6.827477521771884,6.074679820395768,6.1402833177241805,0.29926956182814635,0.29926956182814607,2.7755575615628914e-16
1.31438127090301,6.964390010753149,6.187846207288123,6.26608769800389,0.2980124943665895,0.29801249436659016,6.661338147750939e-16
1.3244147157190636,7.104107014826672,6.303330694175134,6.394415391522998,0.29678051561584184,0.29678051561584146,3.885780586188048e-16
1.334448160535117,7.246684797131934,6.421179785917371,6.5253180750188315,0.29557312342654635,0.29557312342654474,1.609823385706477e-15
